NAME,DATA,DEVICE,PUBLISHED AT
temperatureF,69.510201,sanaz,"April 28, 2021 at 11:25PM"
temperatureF,67.490601,sanaz,"April 28, 2021 at 11:26PM"
temperatureF,68.143997,sanaz,"April 28, 2021 at 11:27PM"
temperatureF,68.084595,sanaz,"April 28, 2021 at 11:28PM"
temperatureF,66.1838,sanaz,"April 28, 2021 at 11:29PM"
temperatureF,67.787598,sanaz,"April 28, 2021 at 11:30PM"
temperatureF,67.965805,sanaz,"April 28, 2021 at 11:31PM"
temperatureF,67.252998,sanaz,"April 28, 2021 at 11:32PM"
temperatureF,66.540199,sanaz,"April 28, 2021 at 11:33PM"
temperatureF,68.0252,sanaz,"April 28, 2021 at 11:34PM"
temperatureF,71.173401,sanaz,"April 28, 2021 at 11:35PM"
temperatureF,66.837196,sanaz,"April 28, 2021 at 11:36PM"
temperatureF,69.391403,sanaz,"April 28, 2021 at 11:37PM"
temperatureF,68.678596,sanaz,"April 28, 2021 at 11:38PM"
temperatureF,68.619202,sanaz,"April 28, 2021 at 11:39PM"
temperatureF,72.955399,sanaz,"April 28, 2021 at 11:40PM"
temperatureF,66.302597,sanaz,"April 28, 2021 at 11:41PM"
temperatureF,67.6688,sanaz,"April 28, 2021 at 11:42PM"
temperatureF,70.460594,sanaz,"April 28, 2021 at 11:43PM"
temperatureF,67.074799,sanaz,"April 28, 2021 at 11:44PM"
temperatureF,70.995201,sanaz,"April 28, 2021 at 11:45PM"
temperatureF,70.341805,sanaz,"April 28, 2021 at 11:46PM"
temperatureF,71.411003,sanaz,"April 28, 2021 at 11:47PM"
temperatureF,67.015404,sanaz,"April 28, 2021 at 11:48PM"
temperatureF,67.906403,sanaz,"April 28, 2021 at 11:49PM"
temperatureF,70.341805,sanaz,"April 28, 2021 at 11:50PM"
temperatureF,70.223,sanaz,"April 28, 2021 at 11:51PM"
temperatureF,66.896599,sanaz,"April 28, 2021 at 11:52PM"
temperatureF,69.747803,sanaz,"April 28, 2021 at 11:53PM"
temperatureF,67.490601,sanaz,"April 28, 2021 at 11:54PM"
temperatureF,66.480797,sanaz,"April 28, 2021 at 11:55PM"
temperatureF,66.956001,sanaz,"April 28, 2021 at 11:56PM"
temperatureF,66.124397,sanaz,"April 28, 2021 at 11:57PM"
temperatureF,65.767998,sanaz,"April 28, 2021 at 11:58PM"
temperatureF,67.371803,sanaz,"April 28, 2021 at 11:59PM"
temperatureF,64.936401,sanaz,"April 29, 2021 at 12:00AM"
temperatureF,70.935799,sanaz,"April 29, 2021 at 12:01AM"
temperatureF,66.1838,sanaz,"April 29, 2021 at 12:02AM"
temperatureF,70.104195,sanaz,"April 29, 2021 at 12:03AM"
temperatureF,68.322197,sanaz,"April 29, 2021 at 12:04AM"
temperatureF,69.094398,sanaz,"April 29, 2021 at 12:05AM"
temperatureF,69.807198,sanaz,"April 29, 2021 at 12:06AM"
